V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,T1,T2
2.09,6.00,6895.32,1366.84,6830.32,26.48,26.48,633.65,288.00,580.76,1.33,1.00,7.24,1.02,15.32,0.29,0.95,0.98
3.14,9.00,8379.55,1386.76,7119.58,60.35,60.35,603.51,288.00,587.14,1.39,1.00,7.55,1.02,12.98,0.26,0.95,0.98
4.16,12.00,14724.73,1547.47,7798.67,113.80,113.80,658.77,288.00,613.36,1.66,1.00,8.98,1.02,17.98,0.36,0.95,0.98
5.14,15.00,21636.97,1924.32,8497.52,175.30,175.30,728.50,288.00,645.09,2.08,1.00,11.16,1.03,26.20,0.52,0.95,0.98
6.18,18.00,29793.66,2307.37,8831.47,246.29,246.29,797.04,288.00,675.72,2.50,1.00,13.32,1.03,35.54,0.70,0.95,0.98
7.15,21.00,38981.09,2678.09,9133.93,332.20,332.20,851.62,288.00,699.43,2.96,1.00,15.63,1.04,45.64,0.90,0.95,0.98
8.21,24.00,50997.77,3087.62,9319.67,438.05,438.05,948.98,288.00,741.28,3.57,1.00,18.57,1.04,62.15,1.23,0.95,0.98
9.30,27.00,72765.44,3560.41,9780.89,645.04,645.04,1113.08,288.00,788.66,4.49,1.00,22.73,1.05,92.24,1.83,0.95,0.98
1.14,3.00,1836.15,1403.71,6725.14,10.75,10.75,505.15,288.00,559.30,1.16,1.00,6.29,1.02,0.00,0.12,0.95,0.98
2.09,6.00,6846.15,1364.27,6831.29,26.02,26.02,632.17,288.00,580.39,1.32,1.00,7.22,1.02,16.58,0.29,0.95,0.98
3.14,9.00,8379.62,1386.76,7122.16,60.36,60.36,602.68,288.00,586.99,1.39,1.00,7.54,1.02,12.95,0.26,0.95,0.98
4.16,12.00,14724.80,1547.47,7800.69,113.79,113.79,657.87,288.00,613.20,1.66,1.00,8.97,1.02,17.94,0.36,0.95,0.98
5.14,15.00,21637.37,1924.32,8498.44,175.28,175.28,727.51,288.00,644.90,2.08,1.00,11.15,1.03,26.15,0.52,0.95,0.98
6.18,18.00,29793.95,2307.35,8832.51,246.25,246.25,795.91,288.00,675.49,2.50,1.00,13.30,1.03,35.47,0.70,0.95,0.98
7.15,21.00,38980.70,2678.09,9134.43,332.15,332.15,850.58,288.00,699.26,2.96,1.00,15.61,1.04,45.56,0.90,0.95,0.98
8.21,24.00,50997.92,3087.63,9320.04,438.00,438.00,947.94,288.00,741.11,3.57,1.00,18.55,1.04,62.05,1.23,0.95,0.98
9.30,27.00,72766.65,3560.41,9781.67,644.88,644.88,1112.19,288.00,788.52,4.49,1.00,22.70,1.05,92.13,1.82,0.95,0.98
1.14,3.00,2208.18,1410.09,6732.25,11.14,11.14,515.97,288.00,561.21,1.18,1.00,6.37,1.02,0.00,0.14,0.95,0.98
2.09,6.00,6838.59,1364.80,6834.17,26.11,26.11,630.90,288.00,580.22,1.32,1.00,7.21,1.02,16.22,0.29,0.95,0.98
3.14,9.00,8379.73,1386.76,7124.75,60.36,60.36,601.86,288.00,586.84,1.39,1.00,7.54,1.02,12.92,0.26,0.95,0.98
4.16,12.00,14724.87,1547.47,7802.70,113.80,113.80,656.97,288.00,613.04,1.66,1.00,8.96,1.02,17.89,0.35,0.95,0.98
5.14,15.00,21637.14,1924.32,8499.35,175.33,175.33,726.52,288.00,644.72,2.08,1.00,11.14,1.03,26.09,0.52,0.95,0.98
6.18,18.00,29794.30,2307.34,8833.55,246.24,246.24,794.79,288.00,675.27,2.50,1.00,13.29,1.03,35.39,0.70,0.95,0.98
7.15,21.00,38980.29,2678.09,9134.93,332.19,332.19,849.55,288.00,699.08,2.96,1.00,15.59,1.04,45.47,0.90,0.95,0.98
8.21,24.00,50998.05,3087.63,9320.40,438.00,438.00,946.91,288.00,740.95,3.57,1.00,18.53,1.04,61.95,1.23,0.95,0.98
9.30,27.00,72767.02,3560.41,9782.44,644.84,644.84,1111.29,288.00,788.38,4.49,1.00,22.67,1.05,92.02,1.82,0.95,0.98
1.14,3.00,2951.93,1417.18,6740.11,11.58,11.58,538.32,288.00,564.94,1.21,1.00,6.53,1.02,0.00,0.16,0.95,0.98
2.09,6.00,6804.08,1363.76,6836.06,25.92,25.92,629.37,288.00,579.93,1.32,1.00,7.20,1.02,16.70,0.29,0.95,0.98
3.14,9.00,8379.83,1386.76,7127.34,60.36,60.36,601.03,288.00,586.69,1.39,1.00,7.53,1.02,12.88,0.26,0.95,0.98
4.16,12.00,14724.97,1547.47,7804.73,113.80,113.80,656.08,288.00,612.87,1.66,1.00,8.95,1.02,17.85,0.35,0.95,0.98
5.14,15.00,21637.62,1924.32,8500.27,175.34,175.34,725.53,288.00,644.54,2.08,1.00,11.13,1.03,26.03,0.52,0.95,0.98
6.18,18.00,29794.58,2307.33,8834.58,246.32,246.32,793.67,288.00,675.04,2.50,1.00,13.27,1.03,35.32,0.70,0.95,0.98
7.15,21.00,38979.93,2678.09,9135.43,332.06,332.06,848.51,288.00,698.91,2.96,1.00,15.58,1.04,45.39,0.90,0.95,0.98
8.21,24.00,50998.10,3087.64,9320.77,438.05,438.05,945.87,288.00,740.79,3.57,1.00,18.50,1.04,61.86,1.23,0.95,0.98
9.30,27.00,72767.72,3560.42,9783.21,644.80,644.80,1110.40,288.00,788.24,4.49,1.00,22.65,1.05,91.92,1.82,0.95,0.98
1.14,3.00,3774.81,1418.89,6744.35,11.70,11.70,562.54,288.00,568.68,1.24,1.00,6.69,1.02,0.00,0.19,0.95,0.98
2.09,6.00,6606.71,1358.93,6835.65,25.03,25.03,624.60,288.00,578.98,1.32,1.00,7.16,1.02,18.87,0.28,0.95,0.98
3.14,9.00,8379.93,1386.76,7129.93,60.37,60.37,600.21,288.00,586.54,1.39,1.00,7.52,1.02,12.85,0.25,0.95,0.98
4.16,12.00,14725.07,1547.47,7806.75,113.79,113.79,655.19,288.00,612.71,1.66,1.00,8.94,1.02,17.81,0.35,0.95,0.98
5.14,15.00,21637.73,1924.33,8501.18,175.29,175.29,724.55,288.00,644.35,2.08,1.00,11.12,1.03,25.98,0.51,0.95,0.98
6.18,18.00,29794.84,2307.32,8835.61,246.25,246.25,792.56,288.00,674.82,2.50,1.00,13.26,1.03,35.25,0.70,0.95,0.98
7.15,21.00,38979.56,2678.09,9135.93,332.15,332.15,847.48,288.00,698.74,2.96,1.00,15.56,1.04,45.31,0.90,0.95,0.98
8.21,24.00,50998.04,3087.64,9321.13,438.03,438.03,944.84,288.00,740.63,3.57,1.00,18.48,1.04,61.76,1.22,0.95,0.98
9.30,27.00,72768.21,3560.42,9783.98,644.97,644.97,1109.50,288.00,788.10,4.49,1.00,22.62,1.05,91.81,1.82,0.95,0.98
1.14,3.00,4053.74,1417.89,6746.47,11.65,11.65,570.47,288.00,569.65,1.25,1.00,6.73,1.02,0.00,0.20,0.95,0.98
2.09,6.00,6563.08,1358.23,6837.78,24.91,24.91,622.74,288.00,578.64,1.31,1.00,7.14,1.02,19.07,0.28,0.95,0.98
3.14,9.00,8380.08,1386.76,7132.53,60.36,60.36,599.39,288.00,586.39,1.39,1.00,7.52,1.02,12.81,0.25,0.95,0.98
4.16,12.00,14725.09,1547.47,7808.77,113.80,113.80,654.30,288.00,612.55,1.66,1.00,8.93,1.02,17.77,0.35,0.95,0.98
5.14,15.00,21637.99,1924.33,8502.10,175.32,175.32,723.56,288.00,644.17,2.08,1.00,11.11,1.03,25.92,0.51,0.95,0.98
6.18,18.00,29795.24,2307.31,8836.66,246.26,246.26,791.44,288.00,674.60,2.50,1.00,13.25,1.03,35.18,0.70,0.95,0.98
7.15,21.00,38979.21,2678.09,9136.43,332.05,332.05,846.46,288.00,698.56,2.96,1.00,15.54,1.04,45.23,0.90,0.95,0.98
8.21,24.00,50997.94,3087.63,9321.48,438.00,438.00,943.81,288.00,740.47,3.57,1.00,18.46,1.04,61.66,1.22,0.95,0.98
9.30,27.00,72768.42,3560.43,9784.73,645.03,645.03,1108.61,288.00,787.96,4.49,1.00,22.59,1.05,91.71,1.82,0.95,0.98
1.14,3.00,5449.87,1407.84,6743.28,11.05,11.05,610.43,288.00,575.12,1.29,1.00,6.98,1.02,0.00,0.25,0.95,0.98
2.09,6.00,6491.69,1356.73,6839.41,24.63,24.63,620.37,288.00,578.18,1.31,1.00,7.12,1.02,19.53,0.28,0.95,0.98
3.14,9.00,8380.14,1386.76,7135.12,60.37,60.37,598.57,288.00,586.24,1.39,1.00,7.51,1.02,12.78,0.25,0.95,0.98
4.16,12.00,14725.17,1547.47,7810.79,113.79,113.79,653.42,288.00,612.39,1.66,1.00,8.93,1.02,17.72,0.35,0.95,0.98
5.14,15.00,21638.13,1924.33,8503.01,175.30,175.30,722.58,288.00,643.99,2.08,1.00,11.09,1.03,25.87,0.51,0.95,0.98
6.18,18.00,29795.50,2307.30,8837.69,246.33,246.33,790.34,288.00,674.38,2.50,1.00,13.23,1.03,35.10,0.70,0.95,0.98
7.15,21.00,38978.77,2678.09,9136.93,332.18,332.18,845.43,288.00,698.39,2.96,1.00,15.52,1.04,45.15,0.89,0.95,0.98
8.21,24.00,50997.82,3087.63,9321.84,438.07,438.07,942.78,288.00,740.31,3.57,1.00,18.44,1.04,61.57,1.22,0.95,0.98
9.30,27.00,72770.38,3560.42,9785.50,644.89,644.89,1107.73,288.00,787.83,4.49,1.00,22.57,1.05,91.60,1.81,0.95,0.98
1.14,3.00,6303.74,1396.99,6739.39,10.40,10.40,634.17,288.00,578.06,1.31,1.00,7.11,1.02,0.00,0.28,0.95,0.99
2.09,6.00,6420.43,1355.79,6841.40,24.47,24.47,617.95,288.00,577.80,1.31,1.00,7.10,1.02,20.26,0.28,0.95,0.99
3.14,9.00,8380.26,1386.76,7137.72,60.37,60.37,597.75,288.00,586.09,1.39,1.00,7.50,1.02,12.75,0.25,0.95,0.99
4.16,12.00,14725.33,1547.47,7812.82,113.81,113.81,652.53,288.00,612.23,1.66,1.00,8.92,1.02,17.68,0.35,0.95,0.99
5.14,15.00,21638.29,1924.33,8503.93,175.33,175.33,721.61,288.00,643.81,2.08,1.00,11.08,1.03,25.81,0.51,0.95,0.99
6.18,18.00,29795.88,2307.29,8838.73,246.26,246.26,789.23,288.00,674.16,2.50,1.00,13.22,1.03,35.03,0.69,0.95,0.99
7.15,21.00,38978.20,2678.08,9137.44,332.04,332.04,844.40,288.00,698.22,2.96,1.00,15.51,1.04,45.07,0.89,0.95,0.99
8.21,24.00,50997.70,3087.63,9322.20,437.99,437.99,941.76,288.00,740.15,3.57,1.00,18.42,1.04,61.47,1.22,0.95,0.99
9.30,27.00,72771.46,3560.42,9786.26,644.82,644.82,1106.85,288.00,787.69,4.49,1.00,22.54,1.05,91.50,1.81,0.95,0.99
1.14,3.00,7325.66,1374.99,6728.64,9.10,9.10,666.26,288.00,580.93,1.33,1.00,7.25,1.02,4.99,0.32,0.95,0.99
2.09,6.00,6310.33,1354.35,6843.08,24.20,24.20,614.50,288.00,577.22,1.31,1.00,7.07,1.02,20.68,0.27,0.95,0.99
3.14,9.00,8380.39,1386.76,7140.31,60.37,60.37,596.94,288.00,585.94,1.39,1.00,7.49,1.02,12.71,0.25,0.95,0.99
4.16,12.00,14725.40,1547.47,7814.85,113.78,113.78,651.65,288.00,612.07,1.66,1.00,8.91,1.02,17.64,0.35,0.95,0.99
5.14,15.00,21638.50,1924.33,8504.85,175.30,175.30,720.63,288.00,643.63,2.08,1.00,11.07,1.03,25.75,0.51,0.95,0.99
6.18,18.00,29796.17,2307.28,8839.76,246.34,246.34,788.13,288.00,673.94,2.50,1.00,13.21,1.03,34.96,0.69,0.95,0.99
7.15,21.00,38977.81,2678.08,9137.95,332.14,332.14,843.37,288.00,698.05,2.96,1.00,15.49,1.04,44.99,0.89,0.95,0.99
8.21,24.00,50997.59,3087.63,9322.56,437.99,437.99,940.74,288.00,739.99,3.57,1.00,18.40,1.04,61.38,1.22,0.95,0.99
9.30,27.00,72771.81,3560.43,9787.01,644.83,644.83,1105.97,288.00,787.56,4.48,1.00,22.51,1.05,91.39,1.81,0.95,0.99
1.14,3.00,7456.77,1363.43,6723.99,8.44,8.44,672.06,288.00,580.96,1.33,1.00,7.25,1.02,11.38,0.33,0.95,0.99
2.09,6.00,6089.63,1351.78,6844.03,23.73,23.73,608.51,288.00,576.21,1.30,1.00,7.03,1.02,21.59,0.27,0.95,0.99
3.14,9.00,8380.49,1386.76,7142.91,60.38,60.38,596.12,288.00,585.79,1.39,1.00,7.49,1.02,12.68,0.25,0.95,0.99
4.16,12.00,14725.44,1547.47,7816.88,113.81,113.81,650.77,288.00,611.90,1.66,1.00,8.90,1.02,17.60,0.35,0.95,0.99
5.14,15.00,21638.56,1924.33,8505.76,175.33,175.33,719.66,288.00,643.45,2.08,1.00,11.06,1.03,25.70,0.51,0.95,0.99
6.18,18.00,29796.44,2307.28,8840.80,246.27,246.27,787.03,288.00,673.71,2.50,1.00,13.19,1.03,34.89,0.69,0.95,0.99
7.15,21.00,38977.36,2678.08,9138.46,332.16,332.16,842.34,288.00,697.88,2.96,1.00,15.47,1.04,44.91,0.89,0.95,0.99
8.21,24.00,50997.50,3087.63,9322.91,438.03,438.03,939.72,288.00,739.83,3.57,1.00,18.38,1.04,61.28,1.21,0.95,0.99
9.30,27.00,72772.94,3560.42,9787.76,645.07,645.07,1105.09,288.00,787.42,4.48,1.00,22.48,1.05,91.29,1.81,0.95,0.99
1.14,3.00,6810.55,1333.84,6707.43,6.76,6.76,661.71,288.00,578.02,1.31,1.00,7.11,1.02,25.58,0.33,0.95,0.99
2.09,6.00,6169.83,1352.94,6847.34,23.94,23.94,609.55,288.00,576.43,1.30,1.00,7.04,1.02,21.31,0.27,0.95,0.99
3.14,9.00,8380.54,1386.77,7145.50,60.36,60.36,595.31,288.00,585.64,1.39,1.00,7.48,1.02,12.65,0.25,0.95,0.99
4.16,12.00,14725.56,1547.47,7818.91,113.81,113.81,649.89,288.00,611.74,1.66,1.00,8.89,1.02,17.56,0.35,0.95,0.99
5.14,15.00,21638.71,1924.34,8506.68,175.30,175.30,718.69,288.00,643.27,2.08,1.00,11.05,1.03,25.64,0.51,0.95,0.99
6.18,18.00,29796.75,2307.27,8841.83,246.30,246.30,785.94,288.00,673.50,2.50,1.00,13.18,1.03,34.82,0.69,0.95,0.99
7.15,21.00,38977.06,2678.08,9138.96,332.16,332.16,841.31,288.00,697.71,2.96,1.00,15.46,1.04,44.83,0.89,0.95,0.99
8.21,24.00,50997.39,3087.62,9323.27,438.13,438.13,938.71,288.00,739.67,3.57,1.00,18.36,1.04,61.19,1.21,0.95,0.99
9.30,27.00,72773.59,3560.43,9788.50,645.02,645.02,1104.21,288.00,787.29,4.48,1.00,22.46,1.05,91.18,1.81,0.95,0.99
1.14,3.00,4893.24,1312.75,6695.19,5.60,5.60,615.36,288.00,570.58,1.25,1.00,6.77,1.02,33.17,0.28,0.95,0.99
2.09,6.00,5864.14,1349.84,6847.96,23.38,23.38,601.38,288.00,575.05,1.29,1.00,6.98,1.02,22.21,0.26,0.95,0.99
3.14,9.00,8380.70,1386.77,7148.10,60.37,60.37,594.50,288.00,585.49,1.39,1.00,7.47,1.02,12.61,0.25,0.95,0.99
4.16,12.00,14725.62,1547.47,7820.94,113.81,113.81,649.02,288.00,611.58,1.66,1.00,8.88,1.02,17.51,0.35,0.95,0.99
5.14,15.00,21638.77,1924.34,8507.59,175.35,175.35,717.72,288.00,643.09,2.07,1.00,11.04,1.03,25.59,0.51,0.95,0.99
6.18,18.00,29797.06,2307.26,8842.87,246.31,246.31,784.85,288.00,673.28,2.50,1.00,13.16,1.03,34.75,0.69,0.95,0.99
7.15,21.00,38976.66,2678.08,9139.47,332.07,332.07,840.29,288.00,697.55,2.96,1.00,15.44,1.04,44.75,0.89,0.95,0.99
8.21,24.00,50997.25,3087.62,9323.62,438.13,438.13,937.70,288.00,739.51,3.56,1.00,18.33,1.04,61.09,1.21,0.95,0.99
9.30,27.00,72773.85,3560.43,9789.23,645.06,645.06,1103.34,288.00,787.15,4.48,1.00,22.43,1.05,91.08,1.80,0.95,0.99
1.14,3.00,3716.23,1308.15,6693.63,5.34,5.34,582.83,288.00,565.53,1.21,1.00,6.55,1.02,33.39,0.24,0.95,0.99
2.09,6.00,5609.24,1347.85,6849.29,23.02,23.02,594.39,288.00,573.96,1.28,1.00,6.93,1.02,22.98,0.25,0.95,0.99
3.14,9.00,8380.82,1386.77,7150.70,60.38,60.38,593.69,288.00,585.34,1.39,1.00,7.46,1.02,12.58,0.25,0.95,0.99
4.16,12.00,14725.67,1547.48,7822.98,113.81,113.81,648.14,288.00,611.42,1.65,1.00,8.87,1.02,17.47,0.35,0.95,0.99
5.14,15.00,21639.05,1924.34,8508.51,175.30,175.30,716.75,288.00,642.91,2.07,1.00,11.03,1.03,25.53,0.51,0.95,0.99
6.18,18.00,29797.33,2307.26,8843.90,246.37,246.37,783.76,288.00,673.06,2.50,1.00,13.15,1.03,34.67,0.69,0.95,0.99
7.15,21.00,38976.33,2678.08,9139.98,332.10,332.10,839.27,288.00,697.38,2.95,1.00,15.42,1.04,44.67,0.88,0.95,0.99
8.21,24.00,50997.16,3087.62,9323.98,438.04,438.04,936.69,288.00,739.36,3.56,1.00,18.31,1.04,61.00,1.21,0.95,0.99
9.30,27.00,72774.98,3560.43,9789.97,644.93,644.93,1102.47,288.00,787.02,4.48,1.00,22.40,1.05,90.98,1.80,0.95,0.99
1.14,3.00,2639.69,1307.68,6694.72,5.30,5.30,551.02,288.00,560.64,1.18,1.00,6.35,1.02,32.63,0.20,0.95,0.99
2.09,6.00,5612.28,1347.89,6851.84,23.03,23.03,593.58,288.00,573.79,1.28,1.00,6.92,1.02,22.80,0.25,0.95,0.99
3.14,9.00,8380.89,1386.77,7153.29,60.37,60.37,592.88,288.00,585.19,1.39,1.00,7.46,1.02,12.54,0.25,0.95,0.99
4.16,12.00,14725.90,1547.48,7825.02,113.81,113.81,647.27,288.00,611.27,1.65,1.00,8.86,1.02,17.43,0.35,0.95,0.99
5.14,15.00,21639.26,1924.34,8509.43,175.31,175.31,715.79,288.00,642.73,2.07,1.00,11.01,1.03,25.48,0.50,0.95,0.99
6.18,18.00,29797.51,2307.25,8844.93,246.28,246.28,782.67,288.00,672.84,2.50,1.00,13.14,1.03,34.60,0.69,0.95,0.99
7.15,21.00,38976.12,2678.08,9140.48,332.15,332.15,838.25,288.00,697.21,2.95,1.00,15.41,1.04,44.59,0.88,0.95,0.99
8.21,24.00,50997.00,3087.62,9324.33,438.07,438.07,935.68,288.00,739.20,3.56,1.00,18.29,1.04,60.90,1.21,0.95,0.99
9.30,27.00,72775.88,3560.44,9790.70,645.05,645.05,1101.60,288.00,786.89,4.48,1.00,22.38,1.05,90.87,1.80,0.95,0.99
1.14,3.00,1746.99,1310.44,6697.85,5.45,5.45,521.74,288.00,556.35,1.15,1.00,6.17,1.02,29.31,0.17,0.95,0.99
2.09,6.00,5259.43,1346.17,6853.35,22.71,22.71,583.69,288.00,572.26,1.27,1.00,6.85,1.02,23.15,0.24,0.95,0.99
3.14,9.00,8381.01,1386.77,7155.89,60.38,60.38,592.08,288.00,585.05,1.39,1.00,7.45,1.02,12.51,0.25,0.95,0.99
4.16,12.00,14725.86,1547.48,7827.05,113.82,113.82,646.40,288.00,611.11,1.65,1.00,8.85,1.02,17.39,0.34,0.95,0.99
5.14,15.00,21639.28,1924.34,8510.34,175.31,175.31,714.83,288.00,642.55,2.07,1.00,11.00,1.03,25.42,0.50,0.95,0.99
6.18,18.00,29797.83,2307.24,8845.96,246.33,246.33,781.59,288.00,672.62,2.50,1.00,13.12,1.03,34.53,0.68,0.95,0.99
7.15,21.00,38975.74,2678.08,9140.99,332.11,332.11,837.24,288.00,697.04,2.95,1.00,15.39,1.04,44.51,0.88,0.95,0.99
8.21,24.00,50996.89,3087.62,9324.68,437.98,437.98,934.68,288.00,739.04,3.56,1.00,18.27,1.04,60.81,1.20,0.95,0.99
9.30,27.00,72775.92,3560.44,9791.42,644.95,644.95,1100.73,288.00,786.76,4.48,1.00,22.35,1.05,90.77,1.80,0.95,0.99
1.14,3.00,530.99,1324.36,6707.51,6.18,6.18,473.95,288.00,549.71,1.10,1.00,5.92,1.02,19.39,0.11,0.95,0.99
2.09,6.00,5302.58,1346.31,6856.03,22.74,22.74,583.96,288.00,572.24,1.27,1.00,6.85,1.02,22.89,0.24,0.95,0.99
3.14,9.00,8381.14,1386.77,7158.49,60.38,60.38,591.27,288.00,584.90,1.39,1.00,7.44,1.02,12.48,0.25,0.95,0.99
4.16,12.00,14725.97,1547.48,7829.10,113.81,113.81,645.54,288.00,610.95,1.65,1.00,8.85,1.02,17.35,0.34,0.95,0.99
5.14,15.00,21639.55,1924.35,8511.26,175.33,175.33,713.87,288.00,642.37,2.07,1.00,10.99,1.03,25.37,0.50,0.95,0.99
6.18,18.00,29797.93,2307.23,8846.99,246.30,246.30,780.51,288.00,672.41,2.50,1.00,13.11,1.03,34.46,0.68,0.95,0.99
7.15,21.00,38975.49,2678.08,9141.50,332.06,332.06,836.23,288.00,696.88,2.95,1.00,15.37,1.04,44.43,0.88,0.95,0.99
8.21,24.00,50996.78,3087.62,9325.04,437.98,437.98,933.68,288.00,738.89,3.56,1.00,18.25,1.04,60.71,1.20,0.95,0.99
9.30,27.00,72776.92,3560.44,9792.15,644.94,644.94,1099.86,288.00,786.63,4.48,1.00,22.32,1.05,90.67,1.80,0.95,0.99
1.14,3.00,305.71,1332.40,6714.84,6.62,6.62,460.88,288.00,547.94,1.09,1.00,5.85,1.02,14.83,0.09,0.95,0.99
2.09,6.00,5179.16,1345.81,6858.20,22.64,22.64,579.98,288.00,571.68,1.27,1.00,6.82,1.02,23.23,0.24,0.95,0.99
3.14,9.00,8381.19,1386.77,7161.09,60.38,60.38,590.47,288.00,584.75,1.39,1.00,7.44,1.02,12.44,0.25,0.95,0.99
4.16,12.00,14726.05,1547.48,7831.14,113.81,113.81,644.67,288.00,610.79,1.65,1.00,8.84,1.02,17.31,0.34,0.95,0.99
5.14,15.00,21639.72,1924.35,8512.18,175.31,175.31,712.92,288.00,642.19,2.07,1.00,10.98,1.03,25.31,0.50,0.95,0.99
6.18,18.00,29798.18,2307.23,8848.02,246.30,246.30,779.44,288.00,672.19,2.50,1.00,13.10,1.03,34.39,0.68,0.95,0.99
7.15,21.00,38975.18,2678.08,9142.00,332.09,332.09,835.22,288.00,696.71,2.95,1.00,15.36,1.04,44.35,0.88,0.95,0.99
8.21,24.00,50996.60,3087.61,9325.39,438.08,438.08,932.68,288.00,738.74,3.56,1.00,18.23,1.04,60.62,1.20,0.95,0.99
9.30,27.00,72777.30,3560.44,9792.86,645.14,645.14,1099.00,288.00,786.50,4.47,1.00,22.30,1.05,90.56,1.79,0.95,0.99
1.14,3.00,314.48,1349.47,6728.35,7.55,7.55,451.45,288.00,547.74,1.10,1.00,5.84,1.02,4.57,0.07,0.95,1.00
2.09,6.00,5228.01,1345.97,6860.89,22.67,22.67,580.50,288.00,571.71,1.27,1.00,6.83,1.02,23.17,0.24,0.95,1.00
3.14,9.00,8381.32,1386.77,7163.69,60.39,60.39,589.67,288.00,584.60,1.39,1.00,7.43,1.02,12.41,0.25,0.95,1.00
4.16,12.00,14726.15,1547.48,7833.18,113.82,113.82,643.81,288.00,610.63,1.65,1.00,8.83,1.02,17.26,0.34,0.95,1.00
5.14,15.00,21639.88,1924.35,8513.10,175.33,175.33,711.97,288.00,642.01,2.07,1.00,10.97,1.03,25.26,0.50,0.95,1.00
